 ,Angle,Length,Folder,Image,species,sex,stage,Comment,Roi
168,-171.87,0.73,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13332-32738
169,-127.27,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16346-32678
170,50.19,0.8,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,15878-33752
171,83.99,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,15403-31977
172,153.85,0.9,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16901-33422
173,105.68,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,17528-32667
174,59.59,0.78,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,17223-32084
175,-86.05,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,19824-35341
176,-96.23,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,15056-34111
177,-119.36,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12455-34971
178,-156.54,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12607-33996
179,118.77,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,12048-34585
180,63.87,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,11871-34609
181,101.31,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10868-35064
182,-131.63,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10634-34717
183,-146.58,0.88,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10704-35482
184,122.62,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,13401-37400
185,-94.93,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,14019-36760
186,166.87,0.91,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,15813-36917
187,-146.85,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,16619-36529
188,-26.1,0.8,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,29468-12025
189,-64.86,0.8,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,30589-12130
190,-56.31,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,33268-12188
191,10.12,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,34324-14490
192,-141.95,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,27362-15032
193,-166.46,0.82,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,30141-14753
194,-170.22,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,30453-15773
195,-140.57,0.86,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,33680-15916
196,-64.32,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,35602-15517
197,-20.43,0.8,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,35166-16396
198,-116.57,0.89,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,37716-15955
199,18.43,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,36981-16583
200,-150.26,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,38674-16914
201,-75.26,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,37680-16881
202,-35.88,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,35967-17124
203,35.88,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,34746-18717
204,133.57,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,34613-18588
205,46.43,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,30202-17865
206,-95.19,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,24795-17735
207,-57.14,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,22597-16980
208,12.93,0.92,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,21820-20338
209,142.55,0.87,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus mississippiensis,female,adult,Owen Park,25474-19186
